Campaign,Ad Group,Keyword,Match Type,Status
WW | Search | Naturopath – Core,Naturopath – Wellington,naturopath wellington,Phrase,Enabled
WW | Search | Services,Functional Testing,functional health testing,Exact,Enabled
WW | Search | Services,Functional Testing,naturopath lab testing,Phrase,Enabled
WW | Search | Services,Functional Testing,naturopath lab testing,Exact,Enabled
WW | Search | Brand,Waterwell – Brand,waterwell clinic,Phrase,Enabled
WW | Search | Brand,Waterwell – Brand,waterwell clinic,Exact,Enabled
WW | Search | Brand,Waterwell – Brand,waterwell naturopath,Phrase,Enabled
WW | Search | Brand,Waterwell – Brand,waterwell naturopath,Exact,Enabled
WW | Search | Brand,Waterwell – Brand,waterwell,Phrase,Enabled
WW | Search | Brand,Waterwell – Brand,waterwell,Exact,Enabled
WW | Search | Brand,Waterwell – Brand,kohei iguchi naturopath,Phrase,Enabled
WW | Search | Brand,Waterwell – Brand,kohei iguchi naturopath,Exact,Enabled
WW | Search | Brand,Waterwell – Brand,waterwellclinic,Phrase,Enabled
WW | Search | Brand,Waterwell – Brand,waterwellclinic,Exact,Enabled
