Country,Campaign,Ad group,Type,Slot,Text,Chars,Your notes
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H1,Waterwell Clinic NZ,19,
NZ,WW | NZ | Skin Conditions,Psoriasis,Headline,H13,"Secure, Encrypted Video Calls",29,
NZ,WW | NZ | Skin Conditions,Psoriasis,Headline,H14,"Psoriasis Naturopath, NZ-Wide",29,
NZ,WW | NZ | Skin Conditions,Psoriasis,Headline,H15,A Personalised Skin Plan,24,
NZ,WW | NZ | Skin Conditions,Psoriasis,Description,D1,"Psoriasis support that looks at diet, gut and immune drivers, not just the surface.",83,
NZ,WW | NZ | Skin Conditions,Psoriasis,Description,D2,"Ten years working with psoriasis and skin health. By secure video, NZ-wide.",75,
NZ,WW | NZ | Skin Conditions,Psoriasis,Description,D3,Works alongside your GP or dermatologist. Free 15-minute discovery call to start.,81,
NZ,WW | NZ | Skin Conditions,Psoriasis,Description,D4,"32 five-star reviews. Lab testing posted to your door, real data, not guesswork.",80,
NZ,WW | NZ | Skin Conditions,Acne,Headline,H1,Acne Naturopath NZ,18,
NZ,WW | NZ | Skin Conditions,Acne,Headline,H2,Hormonal Acne Naturopath,24,
NZ,WW | NZ | Skin Conditions,Acne,Headline,H3,Adult Acne Naturopath NZ,24,
NZ,WW | NZ | Skin Conditions,Acne,Headline,H4,Cystic Acne Naturopath,22,
NZ,WW | NZ | Skin Conditions,Acne,Headline,H5,Hormonal & Cystic Acne Care,27,
NZ,WW | NZ | Skin Conditions,Acne,Headline,H6,Skin-Focused Naturopathy,24,
NZ,WW | NZ | Skin Conditions,Acne,Headline,H7,"32 Reviews, All 5 Stars",23,
NZ,WW | NZ | Skin Conditions,Acne,Headline,H8,10+ Years In Practice,21,
NZ,WW | NZ | Skin Conditions,Acne,Headline,H9,Naturopathy For Adult Acne,26,
NZ,WW | NZ | Skin Conditions,Acne,Headline,H10,Pairs With Your Current Care,28,
NZ,WW | NZ | Skin Conditions,Acne,Headline,H11,"Talk First, Free Of Charge",26,
NZ,WW | NZ | Skin Conditions,Acne,Headline,H12,Book Your Acne Consult,22,
NZ,WW | NZ | Skin Conditions,Acne,Headline,H13,Video-Based Consultations,25,
NZ,WW | NZ | Skin Conditions,Acne,Headline,H14,"Acne Naturopath, NZ-Wide",24,
NZ,WW | NZ | Skin Conditions,Acne,Headline,H15,A Plan Built Around Your Skin,29,
NZ,WW | NZ | Skin Conditions,Acne,Description,D1,Hormonal or cystic acne? Naturopathy that looks at gut and hormone drivers.,75,
NZ,WW | NZ | Skin Conditions,Acne,Description,D2,"More than ten years in skin health. Consultations by secure video, NZ-wide.",75,
NZ,WW | NZ | Skin Conditions,Acne,Description,D3,"Works alongside your GP or dermatologist. Free 15-minute discovery call, no pressure.",85,
NZ,WW | NZ | Skin Conditions,Acne,Description,D4,"32 five-star reviews. Lab testing posted to your door, real data, not guesswork.",80,
NZ,WW | NZ | Skin Conditions,Rosacea,Headline,H1,Rosacea Naturopath NZ,21,
NZ,WW | NZ | Skin Conditions,Rosacea,Headline,H2,Rosacea Natural Treatment,25,
NZ,WW | NZ | Skin Conditions,Rosacea,Headline,H3,Rosacea Trigger Naturopath,26,
NZ,WW | NZ | Skin Conditions,Rosacea,Headline,H4,Facial Redness Naturopath,25,
NZ,WW | NZ | Skin Conditions,Rosacea,Headline,H5,Trigger-Focused Rosacea Care,28,
NZ,WW | NZ | Skin Conditions,Rosacea,Headline,H6,Naturopathy For Skin Health,27,
NZ,WW | NZ | Skin Conditions,Rosacea,Headline,H7,"Real Reviews, All 5-Star",24,
NZ,WW | NZ | Skin Conditions,Rosacea,Headline,H8,"10+ Years, Hands-On Experience",30,
NZ,WW | NZ | Skin Conditions,Rosacea,Headline,H9,Lab Kits Delivered Home,23,
NZ,WW | NZ | Skin Conditions,Rosacea,Headline,H10,Supports What Your GP Does,26,
NZ,WW | NZ | Skin Conditions,Rosacea,Headline,H11,Have A Free Chat First,22,
NZ,WW | NZ | Skin Conditions,Rosacea,Headline,H12,Book Your Rosacea Consult,25,
NZ,WW | NZ | Skin Conditions,Rosacea,Headline,H13,"Meet Online, Securely",21,
NZ,WW | NZ | Skin Conditions,Rosacea,Headline,H14,"Rosacea Naturopath, NZ-Wide",27,
NZ,WW | NZ | Skin Conditions,Rosacea,Headline,H15,Your Own Tailored Skin Plan,27,
NZ,WW | NZ | Skin Conditions,Rosacea,Description,D1,"Rosacea support that looks at gut, diet and trigger factors, not just the redness.",82,
NZ,WW | NZ | Skin Conditions,Rosacea,Description,D2,"Ten years working with rosacea and skin health. By secure video, NZ-wide.",73,
NZ,WW | NZ | Skin Conditions,Rosacea,Description,D3,Works alongside your GP or dermatologist. Free 15-minute discovery call to start.,81,
NZ,WW | NZ | Skin Conditions,Rosacea,Description,D4,"32 five-star reviews. Lab testing posted to your door, real data behind your plan.",82,
NZ,WW | NZ | Skin Conditions,Skin Infections,Headline,H1,Naturopath For Skin Infections,30,
NZ,WW | NZ | Skin Conditions,Skin Infections,Headline,H2,Recurring Skin Infections Help,30,
NZ,WW | NZ | Skin Conditions,Skin Infections,Headline,H3,Chronic Hives Naturopath NZ,27,
NZ,WW | NZ | Skin Conditions,Skin Infections,Headline,H4,Naturopath For Urticaria,24,
NZ,WW | NZ | Skin Conditions,Skin Infections,Headline,H5,What's Driving Your Immunity,28,
NZ,WW | NZ | Skin Conditions,Skin Infections,Headline,H6,A Naturopath For Skin,21,
NZ,WW | NZ | Skin Conditions,Skin Infections,Headline,H7,"5 Stars, 32 Reviews Strong",26,
NZ,WW | NZ | Skin Conditions,Skin Infections,Headline,H8,A Decade Treating Skin,22,
NZ,WW | NZ | Skin Conditions,Skin Infections,Headline,H9,Testing Done From Home,22,
NZ,WW | NZ | Skin Conditions,Skin Infections,Headline,H10,Alongside Your Doctor's Care,28,
NZ,WW | NZ | Skin Conditions,Skin Infections,Headline,H11,No-Charge Discovery Call,24,
NZ,WW | NZ | Skin Conditions,Skin Infections,Headline,H12,Book Your Skin Consult,22,
NZ,WW | NZ | Skin Conditions,Skin Infections,Headline,H13,Face-To-Face By Video,21,
NZ,WW | NZ | Skin Conditions,Skin Infections,Headline,H14,"Skin Naturopath, NZ-Wide",24,
NZ,WW | NZ | Skin Conditions,Skin Infections,Headline,H15,A Plan For Your Immunity,24,
NZ,WW | NZ | Skin Conditions,Skin Infections,Description,D1,Skin infections or hives that keep coming back? Support for what's driving it.,78,
NZ,WW | NZ | Skin Conditions,Skin Infections,Description,D2,"More than ten years of skin consultations. By secure video, right across NZ.",76,
NZ,WW | NZ | Skin Conditions,Skin Infections,Description,D3,"Works alongside your GP or dermatologist. Free 15-minute call, no pressure, to start.",85,
NZ,WW | NZ | Skin Conditions,Skin Infections,Description,D4,"32 five-star reviews. Lab tests posted to your door, real data, not guesswork.",78,
AU,WW | AU | Online Naturopath,Online Naturopath Consult AU,Headline,H1,Online Naturopath Australia,27,
AU,WW | AU | Online Naturopath,Online Naturopath Consult AU,Headline,H2,Naturopath Consultation Online,30,
AU,WW | AU | Online Naturopath,Online Naturopath Consult AU,Headline,H3,10+ Years In Practice,21,
AU,WW | AU | Online Naturopath,Online Naturopath Consult AU,Headline,H4,Same Practitioner Each Visit,28,
AU,WW | AU | Online Naturopath,Online Naturopath Consult AU,Headline,H5,Rated Five Stars 32 Times,25,
AU,WW | AU | Online Naturopath,Online Naturopath Consult AU,Headline,H6,Consults By Secure Video,24,
AU,WW | AU | Online Naturopath,Online Naturopath Consult AU,Headline,H7,32 Five-Star Client Reviews,27,
AU,WW | AU | Online Naturopath,Online Naturopath Consult AU,Headline,H8,10+ Years In This Field,23,
AU,WW | AU | Online Naturopath,Online Naturopath Consult AU,Headline,H9,Works With Your Existing Care,29,
AU,WW | AU | Online Naturopath,Online Naturopath Consult AU,Headline,H10,Free Chat Before You Book,25,
